width,height,resolution_mp,entropy,edge_density,color_variance,laplacian_variance,file_size_bytes,optimal_quality,source_file
2040,1356,2.766,7.0488,0.05383,3679.188,899.167,3759683,60,0692.png
2040,1536,3.133,7.3714,0.10999,2034.783,487.801,4878855,30,0693.png
1356,2040,2.766,7.7457,0.10978,3378.105,656.875,4968701,50,0694.png
2040,1356,2.766,7.8332,0.02245,4243.934,128.943,3356076,40,0695.png
1356,2040,2.766,7.4837,0.01046,3464.961,48.547,3497065,40,0696.png
2040,1356,2.766,7.3213,0.10885,5250.816,1267.611,4475848,50,0697.png
1968,2040,4.015,6.2324,0.0101,3586.384,57.624,4243673,30,0698.png
1572,2040,3.207,7.5593,0.0711,3513.323,535.237,4763012,40,0699.png
2040,1728,3.525,7.1157,0.18557,8255.509,8887.762,7854139,50,0700.png
2040,1344,2.742,7.8229,0.16544,6473.24,4438.601,5355062,30,0701.png
2040,1320,2.693,7.5486,0.01154,2791.952,67.003,3407782,30,0702.png
1356,2040,2.766,7.6872,0.0812,4667.293,994.044,3895835,60,0703.png
2040,1356,2.766,6.8364,0.03276,2299.037,239.194,3628835,30,0704.png
2040,1356,2.766,7.3641,0.05822,3779.666,425.491,4206579,90,0705.png
2040,1368,2.791,7.7869,0.16619,4997.618,2618.746,5070999,50,0706.png
2040,1356,2.766,7.5771,0.05839,3921.356,1342.617,3685730,30,0707.png
2040,1356,2.766,7.0859,0.04149,2728.956,269.358,4130860,80,0708.png
2040,1356,2.766,7.406,0.06525,3009.135,251.405,3944003,40,0709.png
2040,936,1.909,7.788,0.16127,4935.71,2304.834,3606198,60,0710.png
2040,1536,3.133,6.9807,0.09388,8226.797,937.641,4873755,40,0711.png
2040,1788,3.648,7.7381,0.15256,3812.533,1911.806,6790165,50,0712.png
2040,1344,2.742,6.8784,0.06335,1602.335,1255.832,3638283,30,0713.png
2040,1524,3.109,7.4342,0.07903,2865.431,850.927,4298071,40,0714.png
2040,1332,2.717,7.712,0.09147,4849.164,1186.574,4737941,70,0715.png
2040,2040,4.162,7.6636,0.08411,3743.182,546.214,6585928,30,0716.png
2040,1356,2.766,6.145,0.08896,4492.768,459.966,3377755,40,0717.png
2040,1356,2.766,3.6775,0.05611,2624.368,637.634,2277839,30,0718.png
2040,1356,2.766,7.6336,0.13346,5750.89,1933.011,4385315,40,0719.png
2040,1356,2.766,7.3859,0.0618,4132.485,785.317,3341807,30,0720.png
2040,1356,2.766,7.7822,0.07277,3827.86,504.946,4520601,60,0721.png
2040,1356,2.766,6.6614,0.04918,1128.385,703.295,3903596,60,0722.png
2040,1356,2.766,7.6293,0.09422,4887.442,639.008,4781181,50,0723.png
1356,2040,2.766,7.6286,0.08848,4719.568,520.313,4794626,60,0724.png
2040,1356,2.766,7.3155,0.05587,2832.18,821.277,5054369,80,0725.png
2040,1152,2.35,7.1417,0.04839,2031.501,227.274,3387349,50,0726.png
2040,1356,2.766,7.6389,0.00955,4689.722,54.118,3431935,30,0727.png
2040,1368,2.791,7.6583,0.08328,3674.454,2346.706,4264684,40,0728.png
2040,1356,2.766,7.5969,0.19991,3308.897,2387.981,5802399,50,0729.png
2040,1356,2.766,7.7222,0.1353,5368.164,1012.63,5134844,50,0730.png
2040,1356,2.766,6.9841,0.07466,3563.43,469.614,4417374,40,0731.png
2040,1536,3.133,7.7513,0.13692,4944.099,1735.761,5513026,60,0732.png
2040,1308,2.668,7.8153,0.01182,5360.811,88.379,3597179,60,0733.png
1356,2040,2.766,7.5411,0.0629,4428.403,441.103,3685861,30,0734.png
2040,1536,3.133,6.9967,0.02547,2791.772,291.992,4306148,80,0735.png
2040,1452,2.962,7.4542,0.01671,2580.45,488.826,4763260,90,0736.png
2040,1356,2.766,7.2778,0.0478,4843.575,218.051,3411456,30,0737.png
2040,1356,2.766,7.596,0.04003,4235.958,312.817,3926581,40,0738.png
2040,1356,2.766,7.7115,0.16565,4942.565,723.56,5336629,50,0739.png
2040,1356,2.766,7.5397,0.11846,3286.709,895.464,4856959,60,0740.png
1320,2040,2.693,7.4969,0.03259,3077.716,235.434,3776319,80,0741.png
2040,1356,2.766,7.0367,0.11535,3397.115,1756.634,4653313,30,0742.png
2040,1356,2.766,7.4377,0.02432,2316.961,1749.657,5573702,80,0743.png
2040,1584,3.231,7.4678,0.0479,3955.269,367.013,4800350,80,0744.png
2040,1140,2.326,7.6796,0.10502,3786.188,522.263,4198580,70,0745.png
2040,1356,2.766,7.3261,0.03562,5161.971,276.663,4287048,90,0746.png
2040,1464,2.987,6.5091,0.07676,2226.08,2070.082,4322374,50,0747.png
2040,1536,3.133,7.8237,0.15777,4713.835,2026.429,6042587,40,0748.png
2040,1332,2.717,7.2783,0.02833,2678.75,99.111,3981897,30,0749.png
2040,1356,2.766,7.3827,0.04297,3520.302,184.032,4160270,50,0750.png
2040,1356,2.766,6.6831,0.09717,2434.637,1566.858,4302080,40,0751.png
1176,2040,2.399,7.6504,0.11331,3701.35,1177.781,3562685,30,0752.png
2040,1536,3.133,7.3773,0.07873,3403.703,688.686,5426305,80,0753.png
2040,1356,2.766,7.1971,0.08,4296.234,335.079,4260328,30,0754.png
2040,1356,2.766,7.6318,0.06975,3375.761,464.084,4246663,40,0755.png
2040,1356,2.766,7.6939,0.10072,3986.062,1701.196,5103615,80,0756.png
1428,2040,2.913,7.4668,0.09609,3134.542,767.601,4855267,40,0757.png
2040,1356,2.766,7.8716,0.13865,4524.131,1982.839,5084287,50,0758.png
2040,1356,2.766,7.236,0.11104,4971.132,775.564,4763999,60,0759.png
1356,2040,2.766,7.2654,0.13772,4455.036,2179.377,5205894,60,0760.png
2040,1440,2.938,7.5494,0.13024,3156.478,1214.408,5061569,40,0761.png
2040,1296,2.644,7.2288,0.0721,7155.845,789.683,3705391,30,0762.png
2040,1536,3.133,7.2043,0.01397,4815.179,98.413,3663297,30,0763.png
2040,1344,2.742,7.5046,0.00561,7338.349,22.494,2211861,30,0764.png
2040,1356,2.766,7.4219,0.062,2982.811,345.411,4464804,70,0765.png
2040,1356,2.766,7.687,0.23417,5149.088,7457.464,6472344,30,0766.png
2040,1572,3.207,7.2711,0.02764,2108.06,129.395,4032218,40,0767.png
2040,1356,2.766,6.3748,0.00715,1250.087,39.008,3039280,30,0768.png
2040,1356,2.766,7.5613,0.22657,3325.864,4853.509,4057977,50,0769.png
2040,1356,2.766,7.8465,0.18586,5497.292,4149.383,5530047,40,0770.png
2040,1356,2.766,7.5282,0.07659,3917.504,312.863,4649652,40,0771.png
2040,1356,2.766,7.7338,0.18846,4557.523,2655.385,5913376,50,0772.png
2040,1356,2.766,7.6027,0.07723,4966.112,313.44,4184670,40,0773.png
2040,1356,2.766,7.7662,0.07203,4704.931,368.831,4535480,40,0774.png
2040,1356,2.766,7.4783,0.15742,4024.805,2208.687,4770465,40,0775.png
2040,1536,3.133,7.7327,0.13861,2930.325,1509.731,5846442,50,0776.png
2040,1536,3.133,6.2406,0.02351,2826.9,101.825,3889700,80,0777.png
2040,1356,2.766,7.7852,0.15317,4050.367,1344.998,4987691,30,0778.png
2040,1356,2.766,7.0642,0.04966,8043.061,494.188,3330954,30,0779.png
2040,1356,2.766,7.3756,0.0732,2385.212,261.161,4160195,30,0780.png
2040,1356,2.766,6.9296,0.01996,2878.122,379.661,4430182,90,0781.png
1632,2040,3.329,6.3559,0.07121,2712.861,1070.026,4690748,30,0782.png
2040,1368,2.791,7.5052,0.05002,2832.541,336.529,4048525,60,0783.png
2040,1356,2.766,7.393,0.0484,4737.779,693.488,4449320,80,0784.png
2040,1224,2.497,7.1074,0.14288,3495.954,2012.893,4608108,40,0785.png
2040,1356,2.766,7.4211,0.18445,3550.477,5337.269,5205172,30,0786.png
2040,1356,2.766,7.3575,0.18453,2305.927,1025.425,5742548,60,0787.png
2040,1356,2.766,7.384,0.11869,2436.62,903.8,4709254,50,0788.png
2040,1260,2.57,6.9797,0.05327,3438.501,295.767,4700066,80,0789.png
2040,1356,2.766,7.7925,0.03114,4912.392,133.364,3997308,30,0790.png
2040,1356,2.766,7.0239,0.07404,4604.571,690.68,3874548,30,0791.png
2040,1356,2.766,7.5065,0.06609,4483.969,1285.886,3973316,80,0792.png
2040,1488,3.036,7.4654,0.05961,4286.081,437.904,3746414,30,0793.png
2040,1272,2.595,7.2888,0.07987,4185.662,1125.032,4283636,70,0794.png
2040,1152,2.35,7.841,0.07377,5509.472,517.796,3409227,30,0795.png
2040,1356,2.766,6.8444,0.03655,1607.817,262.66,4216091,80,0796.png
2040,1416,2.889,7.4149,0.15912,4809.809,2202.033,6447239,70,0797.png
2040,1356,2.766,7.2974,0.11077,3360.974,1003.446,4896135,60,0798.png
2040,1356,2.766,6.5107,0.01038,2108.923,34.222,2554969,30,0799.png
2040,1332,2.717,7.4188,0.07311,4007.182,680.984,2330584,40,0800.png
